,age,sex,trial,isyes,sayyes,conf,ID,cue,respt1,respt2,block,subblock,intensity,surprise,correct,lag1,lag1r,correct1,trialindex
0,27,w,2,0,0,1,7,0.75,1.1689,0.9796,2,1,0.0,1.29928298413026,True,1.0,0.0,False,2
1,27,w,3,1,1,0,7,0.75,1.7367,0.421,2,1,1.8,0.22314355131421,True,0.0,0.0,True,3
2,27,w,4,0,1,0,7,0.75,1.1315,0.3112,2,1,0.0,1.50407739677627,False,1.0,1.0,True,4
3,27,w,5,1,0,0,7,0.75,1.3594,0.484,2,1,1.8,0.133531392624523,False,0.0,1.0,False,5
4,27,w,6,1,0,0,7,0.75,0.9177,0.6463,2,1,1.8,0.154150679827258,False,1.0,0.0,False,6
5,27,w,7,1,0,0,7,0.75,1.3503,0.6677,2,1,1.8,0.182321556793955,False,1.0,0.0,False,7
6,27,w,8,1,0,1,7,0.75,1.2695,0.2813,2,1,1.8,0.22314355131421,False,1.0,0.0,False,8
7,27,w,9,1,1,0,7,0.75,1.126,0.2574,2,1,1.8,0.287682072451781,True,1.0,0.0,False,9
8,27,w,10,0,1,0,7,0.75,1.1598,0.6957,2,1,0.0,1.09861228866811,False,1.0,1.0,True,10
9,27,w,11,1,0,1,7,0.75,0.9136,0.429,2,1,1.8,0.0,False,0.0,1.0,False,11
10,27,w,12,1,1,0,7,0.75,1.1855,0.2077,2,1,1.8,0.0,True,1.0,0.0,False,12
11,27,w,13,1,0,0,7,0.25,1.3267,0.2828,2,2,1.8,1.38629436111989,False,1.0,1.0,True,13
12,27,w,14,0,0,1,7,0.25,0.7612,0.3179,2,2,0.0,0.200670695462151,True,1.0,0.0,False,14
13,27,w,15,1,0,1,7,0.25,0.8859,0.3035,2,2,1.8,1.6094379124341,False,0.0,0.0,True,15
14,27,w,16,0,0,1,7,0.25,0.9428,0.5442,2,2,0.0,0.117783035656384,True,1.0,0.0,False,16
15,27,w,17,0,0,1,7,0.25,1.0757,0.6753,2,2,0.0,0.133531392624523,True,0.0,0.0,True,17
16,27,w,18,0,1,0,7,0.25,1.0353,0.0761,2,2,0.0,0.154150679827258,False,0.0,0.0,True,18
17,27,w,19,0,1,0,7,0.25,1.2878,0.2656,2,2,0.0,0.182321556793955,False,0.0,1.0,False,19
18,27,w,20,1,0,1,7,0.25,0.35,0.3974,2,2,1.8,1.6094379124341,False,0.0,1.0,False,20
19,27,w,21,0,0,1,7,0.25,0.7574,0.453,2,2,0.0,0.0,True,1.0,0.0,False,21
20,27,w,22,0,0,1,7,0.25,1.0257,0.349,2,2,0.0,0.0,True,0.0,0.0,True,22
21,27,w,23,0,0,1,7,0.25,1.3197,0.2191,2,2,0.0,0.0,True,0.0,0.0,True,23
22,27,w,24,0,1,0,7,0.25,1.1014,0.1593,2,2,0.0,0.0,False,0.0,0.0,True,24
23,27,w,25,0,0,1,7,0.25,0.8687,0.4077,2,3,0.0,0.287682072451781,True,0.0,1.0,False,25
24,27,w,26,1,1,0,7,0.25,1.0223,0.1556,2,3,1.8,1.29928298413026,True,0.0,0.0,True,26
25,27,w,27,0,0,1,7,0.25,1.2172,0.3335,2,3,0.0,0.22314355131421,True,1.0,1.0,True,27
26,27,w,28,0,0,0,7,0.25,1.0701,0.4718,2,3,0.0,0.251314428280906,True,0.0,0.0,True,28
27,27,w,29,0,0,1,7,0.25,1.1703,0.3996,2,3,0.0,0.287682072451781,True,0.0,0.0,True,29
28,27,w,30,0,1,0,7,0.25,1.2315,0.2012,2,3,0.0,0.336472236621213,False,0.0,0.0,True,30
29,27,w,31,0,0,1,7,0.25,0.8913,0.3382,2,3,0.0,0.405465108108164,True,0.0,1.0,False,31
30,27,w,32,0,0,1,7,0.25,1.1136,0.1694,2,3,0.0,0.510825623765991,True,0.0,0.0,True,32
31,27,w,33,1,1,1,7,0.25,0.9253,0.242,2,3,1.8,0.693147180559945,True,0.0,0.0,True,33
32,27,w,34,0,0,0,7,0.25,0.9931,0.5399,2,3,0.0,0.405465108108164,True,1.0,1.0,True,34
33,27,w,35,0,1,0,7,0.25,0.9769,0.2262,2,3,0.0,0.693147180559945,False,0.0,0.0,True,35
34,27,w,36,1,1,1,7,0.25,0.8417,0.2019,2,3,1.8,0.0,True,0.0,1.0,False,36
35,27,w,37,0,0,1,7,0.25,1.1977,0.7186,2,4,0.0,0.287682072451781,True,1.0,1.0,True,37
36,27,w,38,1,1,1,7,0.25,0.7227,0.2644,2,4,1.8,1.29928298413026,True,0.0,0.0,True,38
37,27,w,39,0,0,1,7,0.25,1.3534,0.4396,2,4,0.0,0.22314355131421,True,1.0,1.0,True,39
38,27,w,40,0,1,0,7,0.25,1.2204,0.193,2,4,0.0,0.251314428280906,False,0.0,0.0,True,40
39,27,w,41,1,0,1,7,0.25,0.6195,0.0863,2,4,1.8,1.38629436111989,False,0.0,1.0,False,41
40,27,w,42,0,0,1,7,0.25,0.8692,0.2139,2,4,0.0,0.154150679827258,True,1.0,0.0,False,42
41,27,w,43,0,0,1,7,0.25,1.2365,0.1087,2,4,0.0,0.182321556793955,True,0.0,0.0,True,43
42,27,w,44,0,1,0,7,0.25,0.8494,0.142,2,4,0.0,0.22314355131421,False,0.0,0.0,True,44
43,27,w,45,0,1,0,7,0.25,0.8397,0.1483,2,4,0.0,0.287682072451781,False,0.0,1.0,False,45
44,27,w,46,0,0,1,7,0.25,0.7483,0.2047,2,4,0.0,0.405465108108164,True,0.0,1.0,False,46
45,27,w,47,0,0,1,7,0.25,1.1963,0.1383,2,4,0.0,0.693147180559945,True,0.0,0.0,True,47
46,27,w,48,1,1,0,7,0.25,1.1655,0.1683,2,4,1.8,0.0,True,0.0,0.0,True,48
47,27,w,49,1,0,1,7,0.25,1.4783,0.0336,2,5,1.8,1.38629436111989,False,1.0,1.0,True,49
48,27,w,50,0,0,1,7,0.25,0.6839,0.09,2,5,0.0,0.200670695462151,True,1.0,0.0,False,50
49,27,w,51,0,0,1,7,0.25,1.2685,0.4464,2,5,0.0,0.22314355131421,True,0.0,0.0,True,51
50,27,w,52,0,0,1,7,0.25,0.8964,0.1176,2,5,0.0,0.251314428280906,True,0.0,0.0,True,52
51,27,w,53,0,0,0,7,0.25,1.1435,0.2348,2,5,0.0,0.287682072451781,True,0.0,0.0,True,53
52,27,w,54,1,1,1,7,0.25,0.9743,0.4008,2,5,1.8,1.25276296849537,True,0.0,0.0,True,54
53,27,w,55,0,0,1,7,0.25,0.7758,0.7625,2,5,0.0,0.182321556793955,True,1.0,1.0,True,55
54,27,w,56,0,0,0,7,0.25,1.1261,0.481,2,5,0.0,0.22314355131421,True,0.0,0.0,True,56
55,27,w,57,0,0,0,7,0.25,1.0957,0.3229,2,5,0.0,0.287682072451781,True,0.0,0.0,True,57
56,27,w,58,0,0,1,7,0.25,0.828,0.028,2,5,0.0,0.405465108108164,True,0.0,0.0,True,58
